City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
144,Tornio,FI,2021-11-01 00:59:11,65.8481,24.1466,42.82,98,100,6.06,overcast clouds,0,0
145,Campos Novos,BR,2021-11-01 00:59:11,-27.4017,-51.225,58.12,92,19,7.47,few clouds,0,0
146,Sinnamary,GF,2021-11-01 00:59:11,5.3833,-52.95,78.64,85,34,8.55,scattered clouds,0,0
147,Constantine,DZ,2021-11-01 00:59:12,36.365,6.6147,67.41,63,75,6.91,broken clouds,0,0
148,Bonavista,CA,2021-11-01 00:55:34,48.6499,-53.1147,46.11,91,98,13.8,overcast clouds,0,0
149,Tuatapere,NZ,2021-11-01 00:59:12,-46.1333,167.6833,55.31,70,97,10.65,overcast clouds,0,0
150,Port Alfred,ZA,2021-11-01 00:59:13,-33.5906,26.891,66.06,81,100,15.08,overcast clouds,0,0
151,Hay River,CA,2021-11-01 00:59:13,60.8156,-115.7999,33.78,69,75,5.75,broken clouds,0,0
152,Brumunddal,NO,2021-11-01 00:59:13,60.881,10.9395,46.26,92,100,1.01,overcast clouds,0,0
153,Batagay-Alyta,RU,2021-11-01 00:59:14,67.8006,130.4114,2.97,87,100,3.83,overcast clouds,0,0
154,Gravdal,NO,2021-11-01 00:59:14,68.1214,13.5031,48.09,87,90,10.36,light intensity drizzle,0,0
155,Port Elizabeth,ZA,2021-11-01 00:59:14,-33.918,25.5701,64.09,100,75,19.57,mist,0,0
156,Ghanzi,BW,2021-11-01 00:59:15,-21.5667,21.7833,74.84,12,0,6.38,clear sky,0,0
157,Kidal,ML,2021-11-01 00:59:15,18.4411,1.4078,82.72,15,35,8.19,scattered clouds,0,0
158,Sur,OM,2021-11-01 00:58:24,22.5667,59.5289,81.25,52,0,8.97,clear sky,0,0
159,Carutapera,BR,2021-11-01 00:59:16,-1.195,-46.02,77.63,88,88,6.8,overcast clouds,0,0
160,Hamilton,US,2021-11-01 00:54:58,39.1834,-84.5333,58.08,75,3,3.0,clear sky,0,0
161,Flin Flon,CA,2021-11-01 00:59:16,54.7682,-101.865,30.51,89,100,7.7,overcast clouds,0,0
162,Kiama,AU,2021-11-01 00:57:51,-34.6833,150.8667,75.38,56,100,8.99,overcast clouds,0,0
163,Pahalgam,IN,2021-11-01 00:59:16,34.0333,75.3333,35.92,68,100,6.11,overcast clouds,0,0
164,Bambous Virieux,MU,2021-11-01 00:59:17,-20.3428,57.7575,70.21,88,40,5.75,scattered clouds,0,0
165,Ostrovnoy,RU,2021-11-01 00:56:39,68.0531,39.5131,33.55,88,100,16.69,overcast clouds,0,0
166,Capreol,CA,2021-11-01 00:55:55,46.706,-80.9225,45.07,78,90,8.01,overcast clouds,0,0
167,Monrovia,LR,2021-11-01 00:56:45,6.3005,-10.7969,73.17,92,100,7.54,moderate rain,0,0
168,Amapa,BR,2021-11-01 00:59:18,1.0,-52.0,71.73,99,100,1.95,light rain,0,0
169,Porto Novo,BJ,2021-11-01 00:59:18,6.4965,2.6036,75.02,87,100,9.04,overcast clouds,0,0
170,Apatou,GF,2021-11-01 00:59:18,5.155,-54.3472,73.06,99,40,2.55,scattered clouds,0,0
171,Sol-Iletsk,RU,2021-11-01 00:59:19,51.1631,54.9918,39.52,91,21,9.46,few clouds,0,0
172,Lensk,RU,2021-11-01 00:59:19,60.7253,114.9278,23.43,86,100,2.89,overcast clouds,0,0
173,Dharchula,IN,2021-11-01 00:59:19,29.85,80.5333,52.36,47,0,5.88,clear sky,0,0
174,Pozo Colorado,PY,2021-11-01 00:59:20,-23.4923,-58.7972,75.24,72,0,4.85,clear sky,0,0
175,Georgetown,MY,2021-11-01 00:54:38,5.4112,100.3354,80.89,88,20,1.99,few clouds,0,0
176,La Palma,US,2021-11-01 00:59:20,33.8464,-118.0467,71.02,77,81,5.01,broken clouds,0,0
177,Luderitz,NA,2021-11-01 00:59:20,-26.6481,15.1594,61.61,69,100,7.49,overcast clouds,0,0
178,Pedasi,PA,2021-11-01 00:59:21,7.5333,-80.0333,76.06,84,100,4.85,overcast clouds,0,0
179,Sao Joao Da Barra,BR,2021-11-01 00:59:21,-21.6403,-41.0511,70.9,94,100,19.24,moderate rain,0,0
180,Preili,LV,2021-11-01 00:59:21,56.2944,26.7246,41.79,86,72,7.23,broken clouds,0,0
181,Kousseri,CM,2021-11-01 00:59:22,12.0769,15.0306,80.56,26,100,6.91,dust,0,0
182,Atambua,ID,2021-11-01 00:59:22,-9.1061,124.8925,84.24,57,87,1.52,overcast clouds,0,0
183,Magistralnyy,RU,2021-11-01 00:59:22,56.1725,107.4458,29.84,87,99,5.06,overcast clouds,0,0
184,Henties Bay,NA,2021-11-01 00:59:23,-22.116,14.2845,60.85,92,0,6.4,clear sky,0,0
185,Beringovskiy,RU,2021-11-01 00:59:23,63.05,179.3167,6.82,89,73,12.64,broken clouds,0,0
186,Hammerfest,NO,2021-11-01 00:59:23,70.6634,23.6821,37.85,75,74,11.5,broken clouds,0,0
187,Severodvinsk,RU,2021-11-01 00:59:24,64.5635,39.8302,33.91,97,100,12.06,overcast clouds,0,0
188,Xuddur,SO,2021-11-01 00:59:24,4.1213,43.8894,71.58,80,0,14.76,clear sky,0,0
189,Puerto Madero,MX,2021-11-01 00:59:24,14.7208,-92.4215,79.23,79,94,4.81,overcast clouds,0,0
190,Pacaembu,BR,2021-11-01 00:59:25,-21.5622,-51.2606,68.97,85,42,8.63,scattered clouds,0,0
191,Jalu,LY,2021-11-01 00:59:25,29.0331,21.5482,64.99,85,13,7.87,few clouds,0,0
192,Vila Velha,BR,2021-11-01 00:57:37,-20.3297,-40.2925,71.55,94,90,3.44,overcast clouds,0,0
193,Bouca,CF,2021-11-01 00:59:25,6.5105,18.2733,71.53,85,100,3.51,overcast clouds,0,0
194,Hasanpur,IN,2021-11-01 00:59:26,28.7167,78.2833,62.78,62,0,5.03,clear sky,0,0
195,Point Pedro,LK,2021-11-01 00:59:26,9.8167,80.2333,80.94,82,65,8.68,broken clouds,0,0
196,San Vicente,AR,2021-11-01 00:59:27,-26.6167,-54.1333,62.49,97,0,3.11,clear sky,0,0
197,Lompoc,US,2021-11-01 00:59:06,34.6391,-120.4579,64.78,75,100,15.99,overcast clouds,0,0
198,Boa Vista,BR,2021-11-01 00:58:42,2.8197,-60.6733,85.98,66,40,2.3,scattered clouds,0,0
199,Cabo San Lucas,MX,2021-11-01 00:59:21,22.8909,-109.9124,82.06,73,11,5.01,few clouds,0,0
200,Chake Chake,TZ,2021-11-01 00:59:28,-5.2459,39.7666,76.71,87,24,9.37,light rain,0,0
201,Cherskiy,RU,2021-11-01 00:56:19,68.75,161.3,-0.06,97,100,5.79,overcast clouds,0,0
202,Pruhonice,CZ,2021-11-01 00:59:28,49.9996,14.5502,49.71,86,0,8.01,clear sky,0,0
203,Lac Du Bonnet,CA,2021-11-01 00:59:28,50.2536,-96.0612,33.73,94,100,10.78,light rain,0,0
204,Los Llanos De Aridane,ES,2021-11-01 00:59:29,28.6585,-17.9182,67.12,40,40,5.99,scattered clouds,0,0
205,Palana,RU,2021-11-01 00:59:29,59.1167,159.9667,14.25,86,96,9.6,light snow,0,0
206,Chunskiy,RU,2021-11-01 00:59:29,56.0815,99.6342,31.75,89,100,3.91,overcast clouds,0,0
207,Tirlyanskiy,RU,2021-11-01 00:59:30,54.2109,58.5806,38.7,92,100,6.67,overcast clouds,0,0
208,Roald,NO,2021-11-01 00:59:30,62.5833,6.1333,50.32,66,90,9.22,overcast clouds,0,0
209,Chany,RU,2021-11-01 00:59:30,55.3121,76.7647,22.8,92,100,7.34,overcast clouds,0,0
210,General Pico,AR,2021-11-01 00:59:31,-35.6566,-63.7568,52.18,96,100,8.66,light rain,0,0
211,Huarmey,PE,2021-11-01 00:59:31,-10.0681,-78.1522,65.16,81,8,8.1,clear sky,0,0
212,Kieta,PG,2021-11-01 00:59:31,-6.2167,155.6333,83.71,73,100,3.76,light rain,0,0
213,Neryungri,RU,2021-11-01 00:59:32,56.6709,124.6491,20.75,80,100,4.36,overcast clouds,0,0
214,Ust-Charyshskaya Pristan,RU,2021-11-01 00:59:32,52.3934,83.6635,26.37,82,99,13.62,overcast clouds,0,0
215,Nizwa,OM,2021-11-01 00:58:15,22.9333,57.5333,74.89,23,0,7.14,clear sky,0,0
216,Wyndham,US,2021-11-01 00:59:33,37.6985,-77.6125,58.98,83,0,8.14,clear sky,0,0
217,San Pedro,PH,2021-11-01 00:59:33,14.35,121.0167,82.35,83,75,1.14,broken clouds,0,0
218,Fairbanks,US,2021-11-01 00:59:34,64.8378,-147.7164,31.82,84,100,3.49,overcast clouds,0,0
219,Mahebourg,MU,2021-11-01 00:59:34,-20.4081,57.7,70.25,88,40,5.75,scattered clouds,0,0
220,Hofn,IS,2021-11-01 00:56:16,64.2539,-15.2082,39.6,60,99,26.42,overcast clouds,0,0
221,Uray,RU,2021-11-01 00:59:34,60.1247,64.7758,20.66,95,100,10.27,light snow,0,0
222,Chingola,ZM,2021-11-01 00:59:35,-12.529,27.8838,64.09,80,90,4.68,overcast clouds,0,0
223,Beloha,MG,2021-11-01 00:59:35,-25.1667,45.05,71.28,77,84,4.34,broken clouds,0,0
224,Jacareacanga,BR,2021-11-01 00:59:35,-6.2222,-57.7528,75.13,87,66,1.66,broken clouds,0,0
225,Upernavik,GL,2021-11-01 00:56:50,72.7868,-56.1549,29.25,77,100,13.38,overcast clouds,0,0
226,Kununurra,AU,2021-11-01 00:59:36,-15.7667,128.7333,84.18,61,18,6.91,few clouds,0,0
227,Vanimo,PG,2021-11-01 00:59:36,-2.6741,141.3028,82.42,79,99,2.1,light rain,0,0
228,Jutiapa,GT,2021-11-01 00:59:36,14.2833,-89.9,73.89,90,91,2.77,overcast clouds,0,0
229,Geraldton,AU,2021-11-01 00:59:11,-28.7667,114.6,67.12,59,75,18.41,broken clouds,0,0
230,Hasaki,JP,2021-11-01 00:57:47,35.7333,140.8333,63.28,73,100,5.7,overcast clouds,0,0
231,Pacific Grove,US,2021-11-01 00:59:37,36.6177,-121.9166,63.45,79,100,1.99,overcast clouds,0,0
232,Nabisar,PK,2021-11-01 00:59:37,25.0685,69.6419,72.97,55,0,9.66,clear sky,0,0
233,Sambava,MG,2021-11-01 00:59:38,-14.2667,50.1667,73.02,91,53,5.28,broken clouds,0,0
234,Changli,CN,2021-11-01 00:59:38,39.7042,119.1506,47.44,49,7,2.8,clear sky,0,0
235,Wloclawek,PL,2021-11-01 00:59:38,52.6482,19.0678,44.42,68,10,9.04,clear sky,0,0
236,Muros,ES,2021-11-01 00:59:39,42.7762,-9.0603,58.15,93,58,11.59,broken clouds,0,0
237,Coihaique,CL,2021-11-01 00:59:39,-45.5752,-72.0662,58.95,47,0,5.75,clear sky,0,0
238,Altay,CN,2021-11-01 00:59:39,47.8667,88.1167,32.02,95,100,8.61,light snow,0,0
